User-ID,ISBN,Book-Rating
276729,052165615X,3
276729,0521795028,6
276737,0600570967,6
276754,0684867621,8
276780,8484330478,7
276780,8484332039,7
276804,0440498058,8
276811,0440414121,10
276820,0140260498,9
276842,3809407536,7
276850,0449217264,7
276853,8420457477,1
276853,8448034023,7
276857,8439598459,6
276861,0141011904,9
276861,3423201509,10
276861,3423206616,8
276861,344242529,9
276861,3446200452,8
276861,349223903X,6
276861,3499231603,9
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276861,3704320196,6
276861,3886807843,8
276896,0440241537,10
276953,0140182551,8
276953,0446310786,10
276953,0886776783,7
277007,8817860751,7
277051,0075536498,8
277051,0099287692,6
277051,0099845008,5
277051,0330262130,10
277051,0385720920,10
277051,0553262505,7
277051,3442430496,9
277051,3442446325,8
277051,3453171500,7
277051,3464371506,3
277053,0590108395,6
277128,0099935708,6
277128,0140118608,8
277134,1586609726,6
277358,0679781587,10
277367,0312276885,10
277432,0373765541,8
277436,0590629786,10
277436,0590629794,10
277436,0590629808,10
277436,0590629816,10
277474,014038572X,5
277489,8432221783,7
277590,0340769181,7
277752,0316666343,7
277752,0679734775,8
277756,0385484518,7
277759,0553211404,7
277764,0399501487,9
277765,0553272535,8
277774,0451524462,7
277776,0345339681,7
277778,0061097314,8
277782,0425173739,7
277783,0380778556,8
277784,0440802911,8
277788,0440407524,8
277795,0064406601,5
277797,0440228441,8
277798,0385484518,8
277800,0590684841,7
277801,0380750260,7
277802,0553210793,6
277803,0142001740,8
277808,0553272535,9
277817,0425173755,10
277820,0689843186,8
277823,0140345353,8
277824,0141310073,9
277825,0060931396,10
277827,0380778556,9
277828,0380778556,8
277830,0140118993,10
277833,0809015803,10
277835,014032724X,10
277844,0140345353,8
277947,1865156035,7
277947,1869433637,5
278063,0452281253,7
278098,0307126293,10
278204,8420634158,8
278279,0590553232,8
278279,1567184693,5
278310,0432534220,2
278425,9722216333,8
278425,9729750734,5
278425,9729801320,5
278461,050552502X,9
278461,0843949090,10
278525,0394820371,10
278525,0446518581,8
278755,0385492081,1
278818,0064405788,10
278818,0743400526,9
19,0375759778,7
42,0553582747,7
78,0394895894,8
185,0380778556,10
232,0007123817,7
232,0486284735,8
232,0671021745,4
232,0671047612,6
232,0671504282,6
289,0064470113,7
289,0553571486,6
337,9681500555,9
387,0198320264,2
387,0373196989,6
387,0451527747,10
387,0812504208,9
387,1590071212,9
408,0312283784,8
408,0553582682,9
408,0590947257,8
408,0801491827,6
408,1561561428,7
413,0553210092,8
413,0553258524,7
440,0393321576,8
440,0743424425,10
440,0786868015,7
500,0849943450,10
500,084994371X,8
523,0060930187,8
595,0060083298,9
595,0140293248,9
595,0446610399,9
595,0446672211,10
595,0807070718,8
595,1576737357,7
709,0060535032,5
709,0064405052,9
709,0064409457,6
709,0152162445,10
709,015216250X,10
709,0152162577,10
709,0316666343,3
709,0345391802,7
709,0439042917,9
709,043922165X,9
709,0439221676,4
709,0439221684,5
709,0439221706,4
709,0439221714,4
709,0439221730,4
709,0440219078,10
709,0440415993,10
709,0590129015,10
709,0590183729,5
709,0590897985,9
709,0689829698,6
709,0689832877,10
709,1562477528,9
709,158852038,8
709,9780590962735,9
709,9781562477547,9
741,0130139165,8
741,0140065172,10
741,0198320264,10
741,0373036582,9
741,0373037449,10
741,0373196725,10
741,0373196741,3
741,0381999866,8
741,0393030342,10
741,044132231X,8
741,0450029956,10
741,0451524489,10
741,0451526503,10
741,0553256785,8
741,0590514776,6
741,07472668,10
774,055321313X,8
777,0590484753,9
777,0874067391,9
824,0679734775,5
834,0141001771,5
834,0373250177,2
834,0449005569,3
834,0671027344,7
834,0763615382,3
834,0786884622,3
834,0965975401,5
834,1558747346,5
902,067102535X,8
903,0876855575,9
969,068986020X,8
1057,038533303X,6
1057,0451163753,10
1063,0345387007,5
1063,0671311891,9
1063,0671721038,6
1063,0671880187,5
1063,0771074719,10
1063,0802069347,7
1063,0895773538,9
1063,1558506454,8
1094,0553486411,8
1096,059040640X,7
1096,1566197155,7
1140,0671880187,10
1219,034058269,8
1219,0425169324,7
1219,082176828X,6
1258,0553232053,4
1260,8508046642,10
1260,8511046019,9
1266,0618126988,10
1359,0399501487,7
1586,0590634275,7
1653,8401466350,7
1664,006440630,8
1773,0804106304,9
1775,0140348107,8
1928,0312267819,5
1928,0316666343,10
1928,0394830148,9
1928,0835902242,8
1928,087197195X,7
1928,1563521024,5
1961,0345298365,8
1987,8496246221,5
2035,0140376410,8
2082,0590254715,8
2155,8421615386,6
2172,0425169693,5
2172,0864388772,10
2172,9719175680,7
2181,0765341840,8
2266,30/6646/1,8
2329,074346771X,4
2336,1573228745,9
2366,0553210092,8
2368,0395390338,10
2578,0590453661,8
2582,0099288451,3
2582,3404113888,5
2599,8497591259,9
2678,0375700692,4
2678,0590129988,7
2683,0786867086,10
2688,3407808836,2
2688,3423085711,5
2688,3499262967,4
2749,0345272579,10
2900,8804491574,10
2985,0843946385,1
3061,0439339170,8
3081,9707100567,10
3095,9500418606,7
3166,0553272535,10
3168,0446848433,5
3168,0590425390,4
3168,0671007106,7
3168,0684872153,8
3189,9722024493,5
3189,9722026011,4
3189,9722316573,4
3189,9728393644,6
3283,3789131202,8
3293,8440616368,8
3293,8472236552,9
3355,8429710329,8
3355,843509975X,6
3355,8448902378,8
3355,8449503027,8
3355,8488791518,7
3379,0380817152,8
3379,0394280210,8
3418,0141301074,9
3418,0590224735,6
3418,0590227637,8
3418,0590251589,8
3418,0590251597,8
3418,059035342X,10
3418,0671016792,4
3418,067988288X,7
3418,0679885307,6
3418,0806903481,8
3422,0582528909,7
3694,0446523569,8
3719,0312978332,6
3719,0345294459,7
3719,0345384369,8
3719,0373262329,7
3719,0446609781,8
3719,0449219410,9
3719,0451124383,8
3719,0451179706,8
3719,0451408888,8
3719,0515115487,6
3719,051512608X,7
3719,0515127221,7
3719,0590482238,6
3719,0590482378,6
3719,0671524968,7
3719,0679454446,8
3719,1565122208,8
3764,3440066738,10
3771,8466610685,7
3772,8423994996,7
3792,0140346031,10
3792,0140346848,10
3792,0613286626,10
3799,0140293442,8
3799,0140293469,9
3799,0333782259,8
3799,0435120964,9
3799,0571097103,7
3813,0439559553,10
4016,0064403645,7
4107,0345380371,5
4107,0451522303,8
4107,0671504398,10
4179,0061097268,6
4179,0140343717,10
4179,0345353145,7
4179,0553111531,9
4179,0590452037,7
4198,0439164842,10
4207,8466304592,8
4333,8495501112,8
4365,0140043136,10
4365,0345413369,10
4365,0345413377,5
4365,0374525641,10
4365,0399501487,10
4365,0571167926,10
4433,0385031386,8
4433,0859696707,8
4433,0875420036,9
4433,1844261085,9
4619,8434862123,9
4622,0060175400,10
4622,006093090X,4
4622,0140177396,8
4622,034540288X,4
4622,0385336179,10
4622,0425154882,7
4622,0440219892,6
4622,0553210327,5
4622,0553212524,8
4622,0553213342,5
4622,0553251503,5
4622,0688103324,5
4622,0767914767,8
4622,0786886463,7
4622,0802132952,1
4622,0964109964,9
4622,1555834930,4
4774,0140077812,8
4776,059045563X,8
4795,0060392452,8
4795,0060930535,10
4795,0151003084,8
4795,0151008116,9
4795,031242227X,9
4795,0316666343,9
4795,0375705856,10
4795,0375708707,8
4795,0440408652,10
4795,0446532231,8
4795,0452282152,9
4795,0802134475,10
4795,1558743669,8
4804,9961723575,4
4896,0316488356,10
4896,0439064872,10
4896,0439313899,10
4896,0671704613,10
4896,0671765973,10
4896,073870279X,10
4896,0875423248,10
4896,1844261085,10
4896,1869928180,10
4896,4902010000495,10
4896,9735833026,10
4896,973601097X,7
4896,9736530884,10
4896,9739104045,10
4896,9739217184,4
4896,9739225012,10
4896,9739494129,10
4896,9739507972,10
4896,9739507980,9
4896,9739541089,8
4896,9739559484,10
4896,9739601103,10
4896,9739601154,10
4896,9739815952,10
4896,9739867219,8
4970,0769613292,8
4994,0553583905,7
4998,0393049515,9
5007,0007106130,10
5055,0440204194,7
5055,0440211263,6
5170,014038572X,10
5206,8408048082,8
5286,0060548827,8
5286,0375703764,7
5286,0446343013,6
5286,0451202473,9
5286,0671027344,10
5286,0671027638,8
5286,0743439775,9
5448,006106498X,8
5448,014034991X,8
5448,0439298032,7
5448,0440403332,6
5448,0440414539,10
5448,0440439884,9
5448,0440948991,8
5448,0553274295,6
5448,0590457233,8
5448,0590457799,7
5448,0590926675,9
5448,0671794019,7
5448,0689311001,9
5448,0689800843,10
5448,0743448421,8
5448,O590603647,8
5468,1559210869,7
5506,0312981260,10
5506,0312985207,7
5506,0449220354,5
5513,840132162X,9
5653,1864484098,7
5674,0064410137,8
5674,0373291108,9
5674,0440224713,6
5674,0553280414,5
5674,1402710658,8
