User-ID,Location,Age
19,"weston, ,",14.0
42,"appleton, wisconsin, usa",17.0
78,"oakland, california, usa",18.0
185,"baton rouge, louisiana, usa",17.0
232,"mumbai, maharashtra, india",16.0
289,"tampa, florida, usa",15.0
337,"málaga, n/a, spain",17.0
387,"charity, missouri, usa",17.0
408,"mountain view, california, usa",17.0
413,"naperville, illinois, usa",17.0
440,"brookfield, wisconsin, usa",16.0
500,"san antonio, texas, usa",17.0
523,"bozeman, montana, usa",19.0
595,"hollywood, florida, usa",17.0
709,"roanoke, virginia, usa",14.0
741,"novinger, missouri, usa",16.0
774,"wentzville, missouri, usa",16.0
777,"portland, ,",13.0
824,"albuquerque, new mexico, usa",15.0
834,"rockville, maryland, usa",17.0
902,"overland, missouri, usa",18.0
903,"los angeles, california, usa",19.0
969,"river forest, illinois, usa",13.0
1057,"norwich, norfolk, united kingdom",19.0
1063,"edmonton, alberta, canada",19.0
1094,"largo, florida, usa",18.0
1096,"arvada, colorado, usa",18.0
1140,"bridgewater, new jersey, usa",19.0
1219,"taiping, perak, malaysia",17.0
1258,"st. paul, minnesota, usa",18.0
1260,"campinas, sao paulo, brazil",17.0
1266,"island lake il., illinois, usa",19.0
1359,"houston, texas, usa",14.0
1586,"north muskegon, michigan, united kingdom",14.0
1653,"madrid, delaware, spain",17.0
1664,"chattonoga, georgia, usa",14.0
1773,"northridge, california, usa",16.0
1775,"albuquerque, new mexico, usa",14.0
1928,"kansas city, missouri, usa",17.0
1961,"grand rapids, michigan, usa",17.0
1987,"santa coloma de gramenet, catalunya, spain",13.0
2035,"longwood, florida, usa",15.0
2082,"akron, ohio, usa",14.0
2155,"madrid, madrid, spain",18.0
2172,"quezon city, n/a, philippines",17.0
2181,"montreal, quebec, canada",15.0
2266,"beziers, herault, france",17.0
2329,"kuala lumpur, n/a, malaysia",13.0
2336,"van buren, arkansas, usa",17.0
2366,"lathrup village, michigan, usa",16.0
2368,"largo, florida, usa",18.0
2578,"burlington, ontario, canada",16.0
2582,"zurich, zurich, switzerland",17.0
2599,"logroño, la rioja, spain",15.0
2678,"fort collins, colorado, usa",16.0
2683,"gulf breeze, florida, usa",17.0
2688,"herbolzheim, baden-wuerttemberg, germany",16.0
2749,"bridge lake, british columbia, canada",18.0
2900,"cosenza, calabria, italy",18.0
2985,"cardiff, wales, united kingdom",17.0
3061,"st. louis, missouri, usa",19.0
3081,"distrito federal, distrito federal, mexico",16.0
3095,"córdoba, córdoba, argentina",19.0
3166,"dallas, georgia, usa",15.0
3168,"mississauga, ontario, canada",17.0
3189,"évora, alentejo, portugal",17.0
3283,"duisburg, nordrhein-westfalen, germany",19.0
3293,"barcelona, barcelona, spain",19.0
3355,"barcelona, barcelona, spain",19.0
3379,"toronto, ontario, canada",16.0
3418,"san diego, california, usa",14.0
3422,"gawler east, south australia, australia",14.0
3694,"raleigh, north carolina, usa",16.0
3719,"eielson afb, alaska, usa",18.0
3764,"wien, n/a, austria",19.0
3771,"barcelona, n/a, spain",17.0
3772,"villena, n/a, spain",18.0
3792,"sacramento, california, usa",12.0
3799,"norwich, england, united kingdom",18.0
3813,"lawrencetown, nova scotia, canada",12.0
4016,"port allen, louisiana, usa",17.0
4107,"kelowna, british columbia, canada",19.0
4179,"fairbanks, alaska, usa",18.0
4198,"new port richey, florida, usa",14.0
4207,"requena, valencia, spain",19.0
4333,"fuengirola, málaga, spain",17.0
4365,"victoria, british columbia, canada",19.0
4433,"ploiesti, prahova, romania",17.0
4619,"huetor vega, granada, españa",15.0
4622,"norfolk, virginia, usa",18.0
4774,"guildford, england, united kingdom",18.0
4776,"yagoona, new south wales, australia",13.0
4795,"rochester, new york, usa",18.0
4804,"christchurch, canterbury, new zealand",13.0
4896,"ploiesti, prahova, romania",18.0
4970,"olympia, washington, usa",18.0
4994,"largo, florida, usa",16.0
4998,"melbourne, florida, usa",18.0
5007,"tonbridge, england, united kingdom",14.0
5055,"brunswick, maine, usa",15.0
